scenario_id,type_covariate,type_transformation,eta,sample_size
1,serie,linear_unimodal,0.05,200
2,serie,linear_unimodal,0.05,500
3,serie,linear_unimodal,0.25,200
4,serie,linear_unimodal,0.25,500
5,serie,linear_bimodal,0.05,200
6,serie,linear_bimodal,0.05,500
7,serie,linear_bimodal,0.25,200
8,serie,linear_bimodal,0.25,500
9,serie,non_linear_unimodal,0.05,200
10,serie,non_linear_unimodal,0.05,500
11,serie,non_linear_unimodal,0.25,200
12,serie,non_linear_unimodal,0.25,500
13,serie,non_linear_bimodal,0.05,200
14,serie,non_linear_bimodal,0.05,500
15,serie,non_linear_bimodal,0.25,200
16,serie,non_linear_bimodal,0.25,500
17,serie,bct,0.05,200
18,serie,bct,0.05,500
19,serie,bct,0.25,200
20,serie,bct,0.25,500
21,symmetric_serie,linear_unimodal,0.05,200
22,symmetric_serie,linear_unimodal,0.05,500
23,symmetric_serie,linear_unimodal,0.25,200
24,symmetric_serie,linear_unimodal,0.25,500
25,symmetric_serie,linear_bimodal,0.05,200
26,symmetric_serie,linear_bimodal,0.05,500
27,symmetric_serie,linear_bimodal,0.25,200
28,symmetric_serie,linear_bimodal,0.25,500
29,symmetric_serie,non_linear_unimodal,0.05,200
30,symmetric_serie,non_linear_unimodal,0.05,500
31,symmetric_serie,non_linear_unimodal,0.25,200
32,symmetric_serie,non_linear_unimodal,0.25,500
33,symmetric_serie,non_linear_bimodal,0.05,200
34,symmetric_serie,non_linear_bimodal,0.05,500
35,symmetric_serie,non_linear_bimodal,0.25,200
36,symmetric_serie,non_linear_bimodal,0.25,500
37,symmetric_serie,bct,0.05,200
38,symmetric_serie,bct,0.05,500
39,symmetric_serie,bct,0.25,200
40,symmetric_serie,bct,0.25,500
41,brownian_with_a_trend,linear_unimodal,0.05,200
42,brownian_with_a_trend,linear_unimodal,0.05,500
43,brownian_with_a_trend,linear_unimodal,0.25,200
44,brownian_with_a_trend,linear_unimodal,0.25,500
45,brownian_with_a_trend,linear_bimodal,0.05,200
46,brownian_with_a_trend,linear_bimodal,0.05,500
47,brownian_with_a_trend,linear_bimodal,0.25,200
48,brownian_with_a_trend,linear_bimodal,0.25,500
49,brownian_with_a_trend,non_linear_unimodal,0.05,200
50,brownian_with_a_trend,non_linear_unimodal,0.05,500
51,brownian_with_a_trend,non_linear_unimodal,0.25,200
52,brownian_with_a_trend,non_linear_unimodal,0.25,500
53,brownian_with_a_trend,non_linear_bimodal,0.05,200
54,brownian_with_a_trend,non_linear_bimodal,0.05,500
55,brownian_with_a_trend,non_linear_bimodal,0.25,200
56,brownian_with_a_trend,non_linear_bimodal,0.25,500
57,brownian_with_a_trend,bct,0.05,200
58,brownian_with_a_trend,bct,0.05,500
59,brownian_with_a_trend,bct,0.25,200
60,brownian_with_a_trend,bct,0.25,500
