scenario_id,type_covariate,type_transformation,eta,sample_size
1,fourier_expansion,linear_unimodal,0.05,200
2,fourier_expansion,linear_unimodal,0.05,500
3,fourier_expansion,linear_unimodal,0.25,200
4,fourier_expansion,linear_unimodal,0.25,500
5,fourier_expansion,linear_bimodal,0.05,200
6,fourier_expansion,linear_bimodal,0.05,500
7,fourier_expansion,linear_bimodal,0.25,200
8,fourier_expansion,linear_bimodal,0.25,500
9,fourier_expansion,non_linear_unimodal,0.05,200
10,fourier_expansion,non_linear_unimodal,0.05,500
11,fourier_expansion,non_linear_unimodal,0.25,200
12,fourier_expansion,non_linear_unimodal,0.25,500
13,fourier_expansion,non_linear_bimodal,0.05,200
14,fourier_expansion,non_linear_bimodal,0.05,500
15,fourier_expansion,non_linear_bimodal,0.25,200
16,fourier_expansion,non_linear_bimodal,0.25,500
17,fourier_expansion,linear_discrete,0.05,200
18,fourier_expansion,linear_discrete,0.05,500
19,fourier_expansion,linear_discrete,0.25,200
20,fourier_expansion,linear_discrete,0.25,500
21,symmetric_fourier_expansion,linear_unimodal,0.05,200
22,symmetric_fourier_expansion,linear_unimodal,0.05,500
23,symmetric_fourier_expansion,linear_unimodal,0.25,200
24,symmetric_fourier_expansion,linear_unimodal,0.25,500
25,symmetric_fourier_expansion,linear_bimodal,0.05,200
26,symmetric_fourier_expansion,linear_bimodal,0.05,500
27,symmetric_fourier_expansion,linear_bimodal,0.25,200
28,symmetric_fourier_expansion,linear_bimodal,0.25,500
29,symmetric_fourier_expansion,non_linear_unimodal,0.05,200
30,symmetric_fourier_expansion,non_linear_unimodal,0.05,500
31,symmetric_fourier_expansion,non_linear_unimodal,0.25,200
32,symmetric_fourier_expansion,non_linear_unimodal,0.25,500
33,symmetric_fourier_expansion,non_linear_bimodal,0.05,200
34,symmetric_fourier_expansion,non_linear_bimodal,0.05,500
35,symmetric_fourier_expansion,non_linear_bimodal,0.25,200
36,symmetric_fourier_expansion,non_linear_bimodal,0.25,500
37,symmetric_fourier_expansion,linear_discrete,0.05,200
38,symmetric_fourier_expansion,linear_discrete,0.05,500
39,symmetric_fourier_expansion,linear_discrete,0.25,200
40,symmetric_fourier_expansion,linear_discrete,0.25,500
41,brownian_trend,linear_unimodal,0.05,200
42,brownian_trend,linear_unimodal,0.05,500
43,brownian_trend,linear_unimodal,0.25,200
44,brownian_trend,linear_unimodal,0.25,500
45,brownian_trend,linear_bimodal,0.05,200
46,brownian_trend,linear_bimodal,0.05,500
47,brownian_trend,linear_bimodal,0.25,200
48,brownian_trend,linear_bimodal,0.25,500
49,brownian_trend,non_linear_unimodal,0.05,200
50,brownian_trend,non_linear_unimodal,0.05,500
51,brownian_trend,non_linear_unimodal,0.25,200
52,brownian_trend,non_linear_unimodal,0.25,500
53,brownian_trend,non_linear_bimodal,0.05,200
54,brownian_trend,non_linear_bimodal,0.05,500
55,brownian_trend,non_linear_bimodal,0.25,200
56,brownian_trend,non_linear_bimodal,0.25,500
57,brownian_trend,linear_discrete,0.05,200
58,brownian_trend,linear_discrete,0.05,500
59,brownian_trend,linear_discrete,0.25,200
60,brownian_trend,linear_discrete,0.25,500
